id,objeto,entidade_adj,adjudicataria,adj_nif,tipo_contrato,tipo_proc,preco,preco_efetivo,data_pub,data_contrato,cpv,distrito,ano,ajuste_direto,score_risco,nivel_risco,flags,fonte_ano,atualizado
364512,"Aquisição espuma de poliuretano com surfactante F68, não adesiva 17X19 cm","508094461 - Unidade Local de Saúde do Norte Alentejano, E. P. E.",501886621 - EXPOMEDICA,,Aquisição de bens móveis,Ajuste Direto Regime Geral,105000.0,29400.0,2022-08-24,2022-08-17,"33000000-0 - Equipamento médico, medicamentos e produtos para cuidados pessoais",Portalegre,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (105,000€)"", ""desvio preço 72%"", ""adjudicações repetidas (88x)""]",2022,2026-04-02T01:34:44.065579
365833,Aquisição de serviços de gestão da operação da Linha Segurança Social e Linha Nacional de Emergência Social -,"505305500 - Instituto da Segurança Social, I. P.","504615947 - MEO-Serviços de Comunicações e Multimédia, SA",,Aquisição de serviços,Ajuste Direto Regime Geral,349564.86,202872.66,2022-09-01,2022-08-31,79510000-2 - Serviços de atendimento de telefones,Castelo Branco,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (349,565€)"", ""desvio preço 42%"", ""adjudicações repetidas (29x)""]",2022,2026-04-02T01:34:44.341020
368428,"Aquisição de serviços de “Conta Pré-Paga Escolar"".",502177080 - Município de Mafra,"505231212 - PayShop (Portugal), S.A",,Aquisição de serviços,Ajuste Direto Regime Geral,97561.02,45793.0,2022-09-19,2022-09-19,98390000-3 - Outros serviços,Lisboa,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (97,561€)"", ""desvio preço 53%"", ""adjudicações repetidas (90x)""]",2022,2026-04-02T01:34:44.829701
373815,"Aquisição de Serviços de formação, no âmbito da Pós-Graduação em Emergência Médica e Catástrofe",506971244 - Instituto Politécnico de Leiria,"512106088 - Blue Ocean Medical, Lda.",,Aquisição de serviços,Ajuste Direto Regime Geral,162000.0,91560.0,2022-10-11,2022-10-07,80520000-5 - Instalações para formação,Leiria,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (162,000€)"", ""desvio preço 43%"", ""adjudicações repetidas (14x)""]",2022,2026-04-02T01:34:46.501806
376407,Aquisição de serviço em regime de cartões de refeição,500051054 - Município de Almada,"501465804 - EDENRED PORTUGAL, S.A.",,Aquisição de serviços,Ajuste Direto Regime Geral,126296.34,80816.5,2022-10-19,2022-10-19,55100000-1 - Serviços de hotelaria,Setúbal,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (126,296€)"", ""desvio preço 36%"", ""adjudicações repetidas (38x)""]",2022,2026-04-02T01:34:47.038706
382394,62/3335/2022-Aquisição de material Cirurgia da catarata,"510745997 - Centro Hospitalar Universitário do Algarve, E.P.E.",501251685 - Alcon Portugal,,Aquisição de bens móveis,Ajuste Direto Regime Geral,85956.0,176684.0,2022-11-16,2022-07-28,33140000-3 - Material médico de consumo,Faro,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (85,956€)"", ""desvio preço 106%"", ""adjudicações repetidas (67x)""]",2022,2026-04-02T01:34:48.935820
383233,"PRESTAÇÃO DE SERVIÇOS DE TRANSPORTE DE EMERGÊNCIA SOCIAL PARA O ISS, I.P.","505305500 - Instituto da Segurança Social, I. P.",500745749 - Cruz Vermelha Portuguesa,,Aquisição de serviços,Ajuste Direto Regime Geral,152256.91,105935.18,2022-11-25,2022-11-22,85143000-3 - Serviços de ambulâncias,,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (152,257€)"", ""desvio preço 30%"", ""adjudicações repetidas (186x)""]",2022,2026-04-02T01:34:49.132600
383717,"AM 414/2022 - AM/414/2022 – Prestação de Serviços Médicos nos ACES, 01 de outubro a 13 de nov., ao abrigo da alínea c) do n. º1 do art.º 24 do CCP - (Aquisição no âmbito do DL n. º10-A/2020) – COVID 19","503148709 - Administração Regional de Saúde do Algarve, I. P.","510723691 - Kelly Services Healthcare, Unipessoal, Lda",,Aquisição de serviços,Ajuste Direto Regime Geral,123274.95,70748.36,2022-11-28,2022-10-04,85120000-6 - Serviços de prática médica e serviços conexos,Faro,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (123,275€)"", ""desvio preço 43%"", ""adjudicações repetidas (16x)""]",2022,2026-04-02T01:34:49.313711
384764,040131972022 - POLATUZUMAB VEDOTINA 140 MG PÓ CONC SOL INJ FR IV,"510103448 - Centro Hospitalar e Universitário de Coimbra, E.P.","500233810 - Roche Farmacêutica Química, Lda",,Aquisição de bens móveis,Ajuste Direto Regime Geral,116463.96,29115.99,2022-11-28,2022-11-21,33600000-6 - Produtos farmacêuticos,Coimbra,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (116,464€)"", ""desvio preço 75%"", ""adjudicações repetidas (24x)""]",2022,2026-04-02T01:34:49.571016
386629,Contratação de Serviços de Policiamento no CHUPorto,"508331471 - Centro Hospitalar Universitário do Porto, E. P. E.",600006662 - Polícia de Segurança Pública,,Aquisição de serviços,Ajuste Direto Regime Geral,130166.08,173648.19,2022-12-13,2022-11-30,98300000-6 - Serviços diversos,Porto,2022,1,60.0,alto,"[""ajuste direto"", ""valor elevado (130,166€)"", ""desvio preço 33%"", ""adjudicações repetidas (91x)""]",2022,2026-04-02T01:34:49.922763
